סוג מוצר,שם קופה,שם חברה,קוד קופה,חשיפה למניות,"חשיפה לחו""ל","חשיפה למט""ח","אג""ח ממשלתיות סחירות","אג""ח קונצרני סחיר ותעודות סל אג""חיות","אג""ח קונצרניות לא סחירות","מניות, אופציות ותעודות סל מנייתיות",פיקדונות,הלוואות,מזומנים ושווי מזומנים,קרנות נאמנות,נכסים אחרים,נכסים סחירים ונזילים,נכסים לא סחירים,נכסים בארץ,"נכסים בחו""ל ובמט""ח",מקור
קרן פנסיה,הראל פנסיה -  הלכה למקבלי קצבה,"הראל פנסיה וגמל בע""מ",12028,18.73%,13.13%,2.01%,26.76%,0.0%,0.0%,0.06%,0.0%,0.0%,11.48%,0.0%,2.89%,49.46%,50.54%,98.16%,1.84%,Pensia.xml
קרן פנסיה,"הראל פנסיה - אשראי ואג""ח","הראל פנסיה וגמל בע""מ",2174,7.0%,25.44%,5.8%,2.25%,29.03%,0.22%,5.25%,0.0%,15.34%,7.24%,3.51%,10.19%,50.54%,49.46%,77.95%,22.05%,Pensia.xml
קרן פנסיה,הראל פנסיה - גילאי 50 ומטה,"הראל פנסיה וגמל בע""מ",9823,58.0%,52.79%,21.01%,8.3%,0.22%,0.01%,39.0%,0.0%,1.44%,10.3%,0.88%,13.44%,62.9%,37.1%,66.21%,33.79%,Pensia.xml
קרן פנסיה,הראל פנסיה - גילאי 50 עד 60,"הראל פנסיה וגמל בע""מ",9827,48.32%,45.55%,19.98%,11.56%,4.31%,0.19%,32.84%,0.0%,4.53%,7.55%,1.12%,11.39%,61.35%,38.65%,70.37%,29.63%,Pensia.xml
קרן פנסיה,הראל פנסיה - גילאי 60 ומעלה,"הראל פנסיה וגמל בע""מ",9829,29.21%,36.5%,14.33%,7.31%,14.96%,0.51%,19.98%,0.0%,12.78%,5.92%,2.82%,8.81%,54.77%,45.23%,73.83%,26.17%,Pensia.xml
קרן פנסיה,הראל פנסיה - הלכה,"הראל פנסיה וגמל בע""מ",2173,50.58%,34.18%,17.11%,41.66%,0.0%,0.0%,0.14%,0.0%,0.0%,29.38%,0.0%,1.5%,80.95%,19.05%,94.66%,5.34%,Pensia.xml
קרן פנסיה,הראל פנסיה - כספי (שקלי),"הראל פנסיה וגמל בע""מ",9097,0.0%,0.0%,0.0%,35.6%,0.0%,0.0%,0.0%,0.0%,0.76%,36.45%,0.0%,-0.67%,79.68%,20.32%,100.0%,0.0%,Pensia.xml
קרן פנסיה,הראל פנסיה - מנוף כללי,"הראל פנסיה וגמל בע""מ",2177,48.96%,46.88%,19.97%,10.08%,2.44%,0.24%,33.26%,0.0%,5.22%,8.54%,0.88%,12.85%,58.22%,41.78%,68.88%,31.12%,Pensia.xml
קרן פנסיה,הראל פנסיה - מניות,"הראל פנסיה וגמל בע""מ",2175,72.43%,54.78%,24.99%,8.07%,0.0%,0.0%,48.19%,0.0%,0.19%,12.37%,1.13%,4.11%,76.6%,23.4%,69.74%,30.26%,Pensia.xml
קרן פנסיה,"הראל פנסיה אג""ח סחיר","הראל פנסיה וגמל בע""מ",15276,0.0%,5.36%,1.61%,1.41%,65.77%,0.0%,0.0%,0.0%,0.0%,7.08%,0.0%,-1.55%,82.56%,17.44%,99.18%,0.82%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית - בסיסי למקבלי קצבה,,12140,27.54%,30.24%,15.99%,21.27%,15.17%,0.52%,18.62%,0.0%,12.59%,5.88%,2.94%,23.42%,63.22%,36.78%,79.69%,20.31%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית - גילאי 50 ומטה,,9862,56.87%,57.52%,20.72%,19.93%,7.41%,0.33%,38.48%,0.0%,8.31%,7.65%,1.67%,17.09%,73.55%,26.45%,61.57%,38.43%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית - גילאי 50 עד 60,,9858,47.79%,49.77%,19.81%,21.64%,13.98%,0.53%,32.39%,0.0%,11.25%,6.84%,2.78%,11.32%,76.16%,23.84%,66.58%,33.42%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית - גילאי 60 ומעלה,,9856,28.37%,37.72%,14.06%,22.5%,21.75%,0.73%,19.16%,0.01%,16.86%,7.54%,3.69%,8.2%,74.05%,25.95%,72.65%,27.35%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית - כללי,,2164,48.1%,54.39%,19.78%,16.99%,8.73%,0.69%,32.53%,0.01%,12.08%,9.84%,2.03%,17.83%,67.7%,32.3%,61.72%,38.28%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית - מקבלי קצבה קיימים,,2204,0.0%,0.89%,0.71%,71.51%,12.15%,1.02%,0.02%,0.01%,12.21%,3.34%,0.0%,-0.27%,87.06%,12.94%,99.33%,0.67%,Pensia.xml
קרן פנסיה,"הראל פנסיה כללית אג""ח סחיר",,15280,0.0%,7.84%,2.1%,0.52%,91.5%,0.0%,0.0%,0.0%,0.0%,6.51%,0.0%,1.48%,99.75%,0.25%,99.02%,0.98%,Pensia.xml
קרן פנסיה,"הראל פנסיה כללית אשראי ואג""ח",,15281,5.02%,22.41%,5.98%,25.18%,54.75%,0.0%,3.33%,0.0%,0.0%,9.85%,5.96%,1.01%,99.66%,0.34%,81.84%,18.16%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית הלכה,,13684,49.91%,35.69%,16.92%,66.34%,0.0%,0.0%,0.15%,0.0%,0.0%,32.0%,0.0%,1.51%,100.12%,-0.12%,92.93%,7.07%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית כספי (שקלי),,13279,0.0%,0.0%,0.0%,49.46%,0.0%,0.0%,0.0%,0.0%,0.0%,49.79%,0.0%,0.76%,99.24%,0.76%,100.0%,0.0%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית מניות,,13278,98.97%,71.67%,26.99%,13.4%,0.0%,0.0%,66.0%,0.0%,0.0%,18.72%,1.54%,1.88%,99.43%,0.57%,61.76%,38.24%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית מניות סחיר,,15279,100.05%,18.02%,15.62%,0.0%,0.0%,0.0%,97.73%,0.0%,0.0%,2.98%,0.06%,-0.7%,100.44%,-0.44%,88.33%,11.67%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית משולב סחיר,,14193,52.25%,109.39%,90.78%,9.51%,27.43%,0.0%,24.74%,0.0%,0.0%,19.51%,21.67%,-1.56%,102.91%,-2.91%,17.18%,82.82%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית עוקב מדד s1;p,,13424,99.25%,105.69%,98.57%,14.23%,0.0%,0.0%,30.86%,0.0%,0.0%,57.22%,0.0%,-2.31%,100.44%,-0.44%,91.16%,8.84%,Pensia.xml
קרן פנסיה,"הראל פנסיה כללית עוקב מדדי אג""ח",,15282,0.0%,88.47%,88.47%,0.0%,88.09%,0.0%,0.0%,0.0%,0.0%,3.03%,0.0%,8.88%,91.12%,8.88%,11.68%,88.32%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית עוקב מדדי מניות,,15039,98.67%,98.68%,98.68%,0.0%,0.0%,0.0%,98.67%,0.0%,0.0%,1.94%,0.0%,-0.61%,100.61%,-0.61%,1.32%,98.68%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית עוקב מדדים גמיש,,14192,54.16%,38.43%,20.86%,0.0%,44.26%,0.0%,54.16%,0.0%,0.0%,1.45%,0.0%,0.13%,99.87%,0.13%,91.5%,8.5%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית קיימות,,14194,87.2%,87.44%,27.28%,0.0%,0.0%,0.0%,87.18%,0.0%,0.0%,10.58%,0.0%,2.23%,97.76%,2.24%,18.58%,81.42%,Pensia.xml
קרן פנסיה,הראל פנסיה כללית- הלכה למקבלי קצבה,,13685,16.02%,0.0%,0.0%,61.85%,0.0%,0.0%,0.13%,0.0%,0.0%,16.63%,0.0%,21.4%,78.59%,21.41%,100.0%,0.0%,Pensia.xml
קרן פנסיה,הראל פנסיה מניות סחיר,"הראל פנסיה וגמל בע""מ",15277,70.47%,12.72%,11.03%,0.84%,0.0%,0.0%,68.96%,0.0%,0.0%,4.24%,0.04%,-0.04%,80.15%,19.85%,91.76%,8.24%,Pensia.xml
קרן פנסיה,הראל פנסיה עוקב מדד s1;p 500,"הראל פנסיה וגמל בע""מ",13415,72.64%,77.36%,72.15%,10.41%,0.0%,0.0%,22.59%,0.0%,0.0%,41.67%,0.0%,-1.93%,81.13%,18.87%,93.53%,6.47%,Pensia.xml
קרן פנסיה,"הראל פנסיה עוקב מדדי אג""ח","הראל פנסיה וגמל בע""מ",15278,0.0%,69.35%,69.35%,0.77%,69.04%,0.0%,0.0%,0.0%,0.0%,4.99%,0.0%,-1.89%,82.24%,17.76%,30.77%,69.23%,Pensia.xml
קרן פנסיה,הראל פנסיה- הלכה למקבלי קצבה קיימים,"הראל פנסיה וגמל בע""מ",8806,0.0%,0.0%,0.0%,31.62%,0.0%,0.0%,0.01%,0.0%,0.0%,8.43%,0.0%,-0.35%,51.13%,48.87%,100.0%,0.0%,Pensia.xml
קרן פנסיה,"כלל פנסיה אג""ח סחיר","כלל פנסיה וגמל בע""מ",15433,0.01%,0.91%,5.16%,22.17%,41.18%,0.01%,0.0%,0.0%,0.0%,3.14%,0.0%,-3.16%,75.85%,24.15%,95.07%,4.93%,Pensia.xml
קרן פנסיה,"כלל פנסיה אשראי ואג""ח","כלל פנסיה וגמל בע""מ",9648,4.04%,15.03%,8.11%,5.26%,47.92%,0.59%,4.5%,0.0%,3.83%,2.96%,3.82%,3.85%,70.31%,29.69%,84.18%,15.82%,Pensia.xml
קרן פנסיה,כלל פנסיה הלכה,"כלל פנסיה וגמל בע""מ",2004,50.31%,33.52%,21.1%,2.93%,17.21%,0.0%,48.71%,0.0%,0.41%,2.67%,0.65%,0.72%,79.2%,20.8%,68.93%,31.07%,Pensia.xml
קרן פנסיה,כלל פנסיה כללי,"כלל פנסיה וגמל בע""מ",2002,49.49%,44.35%,21.31%,0.43%,3.9%,0.97%,40.96%,0.12%,5.77%,2.03%,4.73%,16.91%,50.78%,49.22%,64.39%,35.61%,Pensia.xml
קרן פנסיה,כלל פנסיה כספי (שקלי),"כלל פנסיה וגמל בע""מ",13213,0.0%,0.0%,0.0%,9.4%,54.83%,7.08%,0.0%,0.0%,0.0%,0.69%,0.0%,-0.09%,72.05%,27.95%,100.0%,0.0%,Pensia.xml
קרן פנסיה,כלל פנסיה לבני 50 ומטה,"כלל פנסיה וגמל בע""מ",9654,57.21%,51.73%,21.79%,0.21%,2.73%,0.77%,45.08%,0.12%,4.52%,2.33%,5.33%,15.07%,55.22%,44.78%,60.58%,39.42%,Pensia.xml
קרן פנסיה,כלל פנסיה לבני 50-60,"כלל פנסיה וגמל בע""מ",9655,46.02%,42.8%,20.97%,4.22%,9.22%,0.72%,36.45%,0.05%,4.17%,5.08%,4.91%,10.83%,61.35%,38.65%,66.8%,33.2%,Pensia.xml
קרן פנסיה,כלל פנסיה לבני 60 ומעלה,"כלל פנסיה וגמל בע""מ",9656,28.43%,33.29%,14.79%,9.84%,16.13%,0.72%,22.31%,0.06%,4.1%,5.17%,3.42%,12.6%,59.57%,40.43%,72.61%,27.39%,Pensia.xml
קרן פנסיה,כלל פנסיה למקבלי קצבה קיימים,"כלל פנסיה וגמל בע""מ",2205,1.12%,2.65%,0.67%,17.33%,6.97%,3.41%,1.06%,2.03%,3.89%,1.31%,0.01%,3.39%,32.62%,67.38%,97.28%,2.72%,Pensia.xml
קרן פנסיה,כלל פנסיה מניות,"כלל פנסיה וגמל בע""מ",9647,74.88%,49.14%,27.21%,5.29%,3.83%,0.0%,55.93%,0.0%,0.28%,6.44%,3.46%,1.74%,77.84%,22.16%,67.88%,32.12%,Pensia.xml
קרן פנסיה,כלל פנסיה מניות סחיר,"כלל פנסיה וגמל בע""מ",15432,71.7%,1.15%,7.08%,0.0%,0.0%,0.0%,71.17%,0.0%,0.0%,5.04%,0.0%,0.72%,81.86%,18.14%,90.7%,9.3%,Pensia.xml
קרן פנסיה,כלל פנסיה מסלול בסיסי למקבלי קצבה,"כלל פנסיה וגמל בע""מ",12177,15.89%,22.22%,11.68%,4.43%,4.1%,0.74%,13.01%,0.0%,4.1%,1.76%,2.58%,11.55%,29.44%,70.56%,81.3%,18.7%,Pensia.xml
קרן פנסיה,כלל פנסיה מסלול הלכה למקבלי קצבה,"כלל פנסיה וגמל בע""מ",12176,21.52%,15.36%,14.51%,4.91%,9.2%,0.0%,21.96%,0.0%,0.0%,3.66%,0.73%,0.61%,50.29%,49.71%,84.68%,15.32%,Pensia.xml
קרן פנסיה,כלל פנסיה מסלול הלכה למקבלי קצבה קיימים,"כלל פנסיה וגמל בע""מ",9650,0.0%,0.0%,0.0%,26.18%,11.56%,0.0%,0.0%,0.0%,0.0%,1.72%,0.0%,-0.06%,50.17%,49.83%,100.0%,0.0%,Pensia.xml
קרן פנסיה,כלל פנסיה משולב סחיר,"כלל פנסיה וגמל בע""מ",14232,54.33%,1.27%,6.53%,10.35%,7.11%,0.0%,53.91%,0.0%,0.0%,6.01%,0.0%,-0.07%,83.25%,16.75%,93.18%,6.82%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה - כללי,,2176,49.03%,49.17%,21.26%,14.32%,15.66%,1.01%,40.01%,0.09%,5.13%,2.16%,5.25%,19.64%,71.12%,28.88%,59.89%,40.11%,Pensia.xml
קרן פנסיה,"כלל פנסיה משלימה אג""ח סחיר",,15435,0.03%,1.6%,3.64%,33.52%,61.63%,0.03%,0.01%,0.0%,0.0%,4.62%,0.0%,0.19%,99.79%,0.21%,93.55%,6.45%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה בסיסי למקבלי קצבה,,12251,33.69%,29.44%,19.3%,16.51%,34.36%,0.6%,26.77%,0.0%,3.24%,4.01%,3.74%,12.46%,82.82%,17.18%,76.03%,23.97%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה כספי(שקלי),,13214,0.0%,0.0%,0.0%,12.92%,75.33%,9.72%,0.0%,0.0%,0.0%,2.12%,0.0%,-0.1%,90.38%,9.62%,100.0%,0.0%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה לבני 50 ומטה,,9633,55.93%,47.74%,21.67%,10.93%,23.62%,0.88%,44.2%,0.0%,4.8%,3.3%,5.26%,10.41%,82.18%,17.82%,62.72%,37.28%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה לבני 50 עד 60,,9634,45.63%,36.99%,21.2%,14.81%,27.76%,0.69%,35.64%,0.0%,3.77%,11.02%,4.26%,4.63%,89.77%,10.23%,72.12%,27.88%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה לבני 60 ומעלה,,9635,28.11%,28.62%,14.7%,22.96%,35.81%,0.74%,21.81%,0.0%,4.05%,6.64%,3.54%,5.89%,88.19%,11.81%,76.86%,23.14%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה למקבלי קצבה קיימים,,2206,0.07%,0.34%,0.66%,79.23%,10.89%,2.73%,0.0%,0.2%,4.38%,1.11%,0.0%,1.45%,91.23%,8.77%,99.53%,0.47%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה מניות,,13698,98.2%,64.54%,27.34%,5.26%,4.14%,0.0%,73.39%,0.0%,0.0%,14.54%,4.66%,2.14%,97.3%,2.7%,57.92%,42.08%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה מניות סחיר,,15434,97.3%,1.6%,8.54%,0.0%,0.0%,0.0%,96.56%,0.0%,0.0%,3.34%,0.0%,0.1%,98.69%,1.31%,88.48%,11.52%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה משולב סחיר,,14231,53.73%,1.89%,7.15%,25.87%,17.24%,0.0%,53.31%,0.0%,0.0%,3.54%,0.0%,0.03%,99.3%,0.7%,92.39%,7.61%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה עוקב מדד  s1;p500,,14795,99.41%,103.76%,100.15%,0.0%,0.0%,0.0%,68.5%,0.0%,0.0%,30.11%,0.0%,1.39%,99.94%,0.06%,45.13%,54.87%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה עוקב מדדי מניות,,15091,97.63%,97.63%,100.05%,0.0%,0.0%,0.0%,41.05%,0.0%,0.0%,58.54%,0.0%,0.41%,99.66%,0.34%,58.88%,41.12%,Pensia.xml
קרן פנסיה,כלל פנסיה משלימה עוקב מדדים גמיש,,14238,52.46%,101.56%,100.75%,0.0%,48.82%,0.0%,15.01%,0.0%,0.0%,33.44%,0.0%,2.73%,99.81%,0.19%,33.62%,66.38%,Pensia.xml
קרן פנסיה,כלל פנסיה עוקב מדד s1;p 500,"כלל פנסיה וגמל בע""מ",13347,72.62%,75.79%,73.16%,0.0%,0.0%,0.0%,50.04%,0.0%,0.0%,21.99%,0.0%,0.91%,80.69%,19.31%,37.92%,62.08%,Pensia.xml
קרן פנסיה,כלל פנסיה עוקב מדדי מניות,"כלל פנסיה וגמל בע""מ",15092,71.19%,71.19%,72.95%,0.0%,0.0%,0.0%,29.93%,0.0%,0.0%,42.68%,0.0%,0.35%,80.31%,19.69%,27.33%,72.67%,Pensia.xml
קרן פנסיה,כלל פנסיה עוקב מדדים גמיש,"כלל פנסיה וגמל בע""מ",14233,49.55%,82.73%,72.8%,0.0%,32.99%,0.0%,12.75%,0.0%,0.0%,23.92%,0.0%,2.8%,79.91%,20.09%,50.43%,49.57%,Pensia.xml
קרן פנסיה,כלל פנסיה קצבה לזכאים קיימים,"כלל פנסיה וגמל בע""מ",9649,0.0%,0.0%,0.0%,0.79%,1.71%,1.22%,0.0%,0.0%,0.12%,1.53%,0.0%,0.0%,4.03%,95.97%,100.0%,0.0%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית  למקבלי קצבה קיימים,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",2207,1.95%,2.84%,0.99%,23.68%,6.94%,0.26%,1.47%,0.0%,2.27%,2.26%,0.01%,2.36%,45.65%,54.35%,97.37%,2.63%,Pensia.xml
קרן פנסיה,"מגדל מקפת אישית אשראי ואג""ח","מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",2144,0.79%,15.08%,7.48%,8.69%,38.64%,1.14%,0.77%,0.0%,11.87%,5.44%,0.55%,6.05%,60.92%,39.08%,85.31%,14.69%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית בסיסי למקבלי קצבה,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",12145,17.26%,18.68%,11.45%,3.28%,6.92%,0.29%,11.42%,0.0%,3.08%,8.61%,0.34%,5.5%,40.14%,59.86%,85.11%,14.89%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית הלכה,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",2112,47.83%,33.61%,21.02%,6.56%,21.11%,0.0%,39.44%,0.0%,0.0%,5.31%,0.0%,0.49%,82.2%,17.8%,74.24%,25.76%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית הלכה למקבלי קצבה,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",12146,21.07%,16.11%,11.6%,4.73%,11.6%,0.0%,21.07%,0.0%,0.0%,1.8%,0.0%,0.06%,52.58%,47.42%,82.89%,17.11%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית הלכה למקבלי קצבה קיימים,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",8603,1.86%,1.31%,0.93%,17.36%,15.6%,0.0%,1.86%,0.0%,0.0%,4.34%,0.0%,0.11%,52.51%,47.49%,97.43%,2.57%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית כללי,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",2102,46.47%,42.46%,20.8%,3.03%,4.37%,0.0%,32.97%,0.02%,2.03%,12.25%,0.38%,18.13%,56.63%,43.37%,66.87%,33.13%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית כספי (שקלי),"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",2143,0.0%,0.0%,0.0%,43.81%,24.7%,0.0%,0.0%,0.0%,0.0%,4.4%,0.0%,0.0%,82.24%,17.76%,100.0%,0.0%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית לבני 50 ומטה,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",8801,55.9%,46.4%,20.62%,2.79%,6.72%,0.01%,36.41%,0.0%,0.26%,16.02%,0.62%,10.53%,69.16%,30.84%,65.63%,34.37%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית לבני 50 עד 60,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",8802,45.89%,39.0%,20.54%,6.04%,10.35%,0.4%,30.01%,0.0%,4.24%,13.13%,0.59%,8.57%,66.91%,33.09%,70.55%,29.45%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית לבני 60 ומעלה,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",8803,27.72%,28.09%,14.64%,11.78%,17.02%,0.57%,18.36%,0.0%,5.98%,11.3%,0.49%,7.84%,65.51%,34.49%,77.8%,22.2%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית מניות,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",2142,72.47%,44.37%,24.86%,4.98%,0.02%,0.0%,46.01%,0.0%,0.0%,21.24%,0.49%,0.89%,82.12%,17.88%,70.92%,29.08%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית מניות סחיר,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",15524,72.98%,1.56%,2.75%,0.0%,0.06%,0.0%,68.98%,0.0%,0.0%,4.8%,0.0%,-0.23%,82.36%,17.64%,92.32%,7.68%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית משולב סחיר,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",14242,55.75%,44.03%,20.95%,2.53%,17.15%,0.0%,33.14%,0.0%,0.0%,19.67%,0.81%,0.37%,82.73%,17.27%,70.84%,29.16%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית עוקב מדד S1;P500,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",13572,72.76%,72.76%,72.78%,0.0%,0.0%,0.0%,42.1%,0.0%,0.0%,29.14%,0.32%,1.7%,82.17%,17.83%,54.25%,45.75%,Pensia.xml
קרן פנסיה,"מגדל מקפת אישית עוקב מדדי אג""ח","מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",15525,0.0%,69.21%,71.02%,0.0%,69.21%,0.0%,0.0%,0.0%,0.0%,5.01%,0.0%,-0.55%,83.42%,16.58%,30.67%,69.33%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית עוקב מדדי מניות,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",14929,72.64%,72.64%,72.7%,0.0%,0.0%,0.0%,33.71%,0.0%,0.0%,37.27%,0.0%,2.06%,82.64%,17.36%,73.97%,26.03%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית עוקב מדדים - גמיש,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",14243,50.03%,70.2%,72.86%,0.0%,20.17%,0.0%,50.03%,0.0%,0.0%,2.95%,0.0%,-0.27%,82.53%,17.47%,29.14%,70.86%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית עוקב מדדים למקבלי קצבה,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",12147,37.89%,26.58%,13.25%,0.0%,0.0%,0.0%,37.89%,0.0%,0.0%,1.33%,0.0%,-0.01%,52.62%,47.38%,72.69%,27.31%,Pensia.xml
קרן פנסיה,מגדל מקפת אישית קצבה לזכאים קיימים,"מגדל מקפת קרנות פנסיה וקופות גמל בע""מ",8602,1.88%,1.33%,0.8%,14.77%,1.49%,0.16%,1.12%,0.0%,1.48%,3.3%,0.01%,0.16%,30.65%,69.35%,99.13%,0.87%,Pensia.xml
קרן פנסיה,"מגדל מקפת משלימה אשראי ואג""ח",,2148,1.68%,18.26%,8.69%,27.16%,40.22%,1.55%,1.61%,0.0%,15.82%,5.02%,0.61%,8.01%,74.59%,25.41%,82.38%,17.62%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה בסיסי למקבלי קצבה,,12152,24.46%,27.26%,13.88%,27.38%,26.71%,0.7%,16.21%,0.0%,7.51%,13.39%,0.52%,7.72%,83.56%,16.44%,77.7%,22.3%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה הלכה,,2149,47.93%,34.78%,20.78%,15.94%,31.54%,0.0%,47.93%,0.0%,0.0%,4.36%,0.0%,0.23%,99.77%,0.23%,64.47%,35.53%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה הלכה למקבלי קצבה,,8604,22.69%,20.04%,12.04%,34.65%,40.28%,0.0%,22.69%,0.0%,0.0%,1.13%,0.0%,1.25%,98.75%,1.25%,79.39%,20.61%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה כללי,,2145,46.94%,44.63%,19.61%,12.77%,15.34%,0.76%,31.25%,0.0%,8.03%,17.36%,0.61%,14.18%,76.61%,23.39%,64.17%,35.83%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה כספי (שקלי),,2147,0.0%,0.0%,0.0%,71.74%,24.5%,0.0%,0.0%,0.0%,0.0%,3.77%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה לבני 50 ומטה,,9453,55.36%,46.66%,20.23%,9.9%,17.32%,0.7%,35.62%,0.0%,7.5%,19.22%,0.66%,9.44%,81.88%,18.12%,65.37%,34.63%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה לבני 50 עד 60,,9454,46.33%,40.04%,20.22%,14.03%,21.87%,0.77%,30.28%,0.0%,8.01%,16.81%,0.67%,7.85%,83.07%,16.93%,69.71%,30.29%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה לבני 60 ומעלה,,9455,27.06%,28.5%,15.1%,22.68%,29.55%,0.69%,17.92%,0.0%,7.39%,13.75%,0.53%,7.66%,83.77%,16.23%,77.21%,22.79%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה למקבלי קצבה קיימים,,2208,2.06%,4.1%,1.06%,54.91%,28.32%,0.73%,1.31%,0.0%,6.28%,4.19%,0.01%,4.27%,88.57%,11.43%,95.89%,4.11%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה מניות,,2146,99.33%,61.45%,26.31%,8.96%,0.03%,0.0%,62.67%,0.0%,0.0%,27.1%,0.67%,1.23%,99.64%,0.36%,59.88%,40.12%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה מניות סחיר,,15526,98.98%,2.11%,3.73%,0.0%,0.08%,0.0%,93.56%,0.0%,0.0%,6.67%,0.0%,-0.31%,99.51%,0.49%,89.59%,10.41%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה משולב סחיר,,14244,56.08%,45.9%,21.42%,11.74%,30.88%,0.0%,33.32%,0.0%,0.0%,23.21%,0.93%,0.34%,100.25%,-0.25%,69.31%,30.69%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה עוקב מדד S1;P500,,13627,99.72%,99.72%,99.74%,0.0%,0.0%,0.0%,57.7%,0.0%,0.0%,39.97%,0.43%,2.33%,99.89%,0.11%,37.3%,62.7%,Pensia.xml
קרן פנסיה,"מגדל מקפת משלימה עוקב מדדי אג""ח",,15527,0.0%,95.09%,99.35%,0.0%,95.09%,0.0%,0.0%,0.0%,0.0%,6.01%,0.0%,-1.1%,101.1%,-1.1%,1.88%,98.12%,Pensia.xml
קרן פנסיה,מגדל מקפת משלימה עוקב מדדי מניות,,14930,99.6%,99.6%,99.69%,0.0%,0.0%,0.0%,46.22%,0.0%,0.0%,50.95%,0.0%,2.83%,100.37%,-0.37%,64.31%,35.69%,Pensia.xml
